"","HKL_1","MSC_1","NET_1","NET_2","POT_1","POT_2","TLS_1","TLS_2","TWL_1","TWS_1"
"control",0.440670252230485,0.364234957956197,0.481151960789123,0.447995683714966,0.371492133081227,0.457718169869803,0.489870860694551,0.424368291485851,0.422206789861407,0.38108653359783
"decrease_POT1",-2.23564509703471,40.9864040902519,-1.02655219080629,26.2411439016161,-8.74972024720095,-3.76852108230342,1.17157948883,1.70564570911561,7.97413608572258,25.9380116204439
