"Metier","Decrease crab (POT_1) relative abundance"
"HKL_1",-2.23564509703471
"MSC_1",40.9864040902519
"NET_1",-1.02655219080629
"NET_2",26.2411439016161
"POT_1",-8.74972024720095
"POT_2",-3.76852108230342
"TLS_1",1.17157948883
"TLS_2",1.70564570911561
"TWL_1",7.97413608572258
"TWS_1",25.9380116204439
