"","pcid","percent_rev","n.fisheries","has_crab","average_int","modularity","connectance","pot_1centrality"
"1","ARE",0.997862866781238,6,"yes",0.305258799171843,2,0.254382332643202,0.0550239234449761
"2","AST",0.999392923990982,21,"yes",0.134750984766151,3,0.673754923830754,2.09776673247893
"3","AVL",0.997583892617973,20,"yes",0.134291269428181,5,0.745316545326406,0.0243772865889598
"4","BDG",0.993505562055259,17,"yes",0.0874726047823677,4,0.293290498387939,1.26778341089235
"5","BKL",0.956432587728207,11,"yes",0.114582454454009,3,0.385413710436212,1.25821057645742
"6","BLL",0.976770969179142,5,"yes",0.0563725490196079,5,0.0225490196078431,0.0985983566940551
"7","BLN",0.989936506453304,2,"yes",NA,2,0,0.5
"8","BOL",0.973884976412018,4,"yes",0.272810033104151,1,0.409215049656226,1.64395604395604
"9","BRG",0.997952242046469,21,"yes",0.0875799763425642,5,0.404536081201368,0.046324303785668
"10","BRK",0.999725280668085,13,"yes",0.108851567304971,3,0.326554701914914,1.9012278828732
"11","COS",0.996190770449746,24,"yes",0.0906839968760793,3,0.551660980996149,2.04483976832105
"12","CRS",0.999638302872959,15,"yes",0.0928300330496317,3,0.451772827508208,1.55801224409277
"13","CRZ",0.986125562931557,20,"yes",0.0791263518807579,3,0.466845476096471,1.02354191656032
"14","DPO",0.999451000283773,8,"yes",0.274025974025974,8,0.513798701298701,0.0596760443307758
"15","ERK",0.999635645754705,10,"yes",0.0882077687157934,3,0.220519421789483,3.38479371364462
"16","EVR",1,2,"yes",NA,2,0,0.5
"17","FLN",0.999917681579506,4,"yes",0.0342261904761905,1,0.0256696428571428,9.73913043478261
"18","GLD",0.994757624324214,7,"yes",0.154872910593948,2,0.331870522701317,2.61452948766971
"19","LAC",0.967638601170851,1,"yes",NA,1,0,NA
"20","LAP",0.999207736532778,7,"yes",0.109741876123412,2,0.156774108747732,0.133178212108727
"21","LWC",0.998066033142678,13,"yes",0.106608491286161,3,0.229618288924038,0.0727495909061002
"22","MNT",0.962888455840552,27,"yes",0.0873377357888044,9,0.591955764790785,0.673767752878066
"23","NEA",0.980019806368799,5,"yes",0.0926248679012529,5,0.129674815061754,3.6116482099959
"24","NEW",0.999852331518805,25,"yes",0.0749971286269522,3,0.479981623212494,2.09735609346462
"25","OHB",0.995062269610505,9,"yes",0.151094054632086,2,0.436493935603804,0.816257765610192
"26","OLY",1,3,"yes",NA,3,0,0.166666666666667
"27","ORF",0.976849483893913,15,"yes",0.194395358105102,2,1.24413029187265,0.748185954248298
"28","OSF",0.998641902749106,10,"yes",0.0836752432729972,4,0.0920427676002969,0.0940711904944984
"29","OWA",0.998739630014747,3,"yes",NA,3,0,0.166666666666667
"30","OWC",0.993588362017579,3,"yes",0.0863095238095238,3,0.0575396825396825,4.54054054054054
"31","PCC",0.996660386347747,5,"yes",0.271564655666164,5,0.543129311332328,2.43416804816334
"32","PRN",0.981780556526194,23,"yes",0.100538354462477,3,0.555146565944984,1.40785191185473
"33","SB",0.999335441685164,51,"yes",0.0815778720745275,3,1.03651884518223,0.590629510029972
"34","SEA",0.979038184446787,3,"yes",NA,3,0,0.166666666666667
"35","SF",0.994704909888383,34,"yes",0.0719054429632653,7,0.363756946755342,0.916651945229837
"36","SLT",0.997294732414073,6,"yes",0.0948973718019972,2,0.142346057702996,2.55333002352137
"37","TLL",0.987792203552745,14,"yes",0.121015183144658,4,0.466772849272252,1.19455228738059
"38","TRN",0.999881492909688,6,"yes",0.176789478359059,2,0.441973695897647,2.87746066793199
"39","WIN",0.998053598522024,8,"yes",0.162719493145198,2,0.528838352721893,1.47389193215199
"40","WLB",0.987782264704872,4,"yes",0.0383986928104575,4,0.0287990196078431,0.246525679758308
"41","WPT",0.99983643771069,22,"yes",0.108254662127663,4,0.428097982050304,2.38242380724984
"42","coastwide",0.999998469119823,106,"yes",0.036709358412315,9,0.743883979902383,2.65446216514511
