"","HKL_1","MSC_1","NET_1","NET_2","POT_1","POT_2","TLS_1","TLS_2","TWL_1","TWS_1"
"HKL_1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MSC_1",-0.163548989352104,1,NA,NA,NA,NA,NA,NA,NA,NA
"NET_1",NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"NET_2",NA,NA,-0.168367646964369,1,NA,NA,NA,NA,NA,NA
"POT_1",0.0133000521547725,-0.439088839141848,NA,-0.343916498911401,1,NA,NA,NA,NA,NA
"POT_2",-0.222836231801817,-0.490180269658609,NA,NA,NA,1,NA,NA,NA,NA
"TLS_1",-0.0529497123741805,-0.198985499551723,NA,NA,-0.041142185943234,0.218844121941605,1,NA,NA,NA
"TLS_2",-0.131674770206546,NA,NA,NA,-0.049582020154043,NA,-0.0697422298877309,1,NA,NA
"TWL_1",NA,NA,NA,NA,-0.138393573963198,NA,NA,-0.145774340222225,1,NA
"TWS_1",NA,NA,NA,NA,-0.30977806124278,NA,NA,-0.348243744557437,-0.525989799259942,1
